Apr  2 20:42:51.049 2021@LM_INFO@  active LogDBCenterTask[1] succ!
Apr  2 20:42:51.350 2021@LM_INFO@get_table_no, cur_time:1617410571, table_no:20210402
Apr  2 20:42:59.388 2021@LM_ERROR@DB Error:[1064]:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,' at line 1.
Apr  2 21:32:33.314 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413553, set_id=11, svr_type=9, svr_id=1001101, cache_type=17, cache_capa=389, cache_size=0; 
Apr  2 21:32:33.483 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413553, set_id=1, svr_type=11, svr_id=1001101, cache_type=506, cache_capa=10139, cache_size=0; 
Apr  2 21:32:33.488 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413553, set_id=1, svr_type=11, svr_id=1001101, cache_type=507, cache_capa=10139, cache_size=0; 
Apr  2 21:32:34.022 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413553, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 21:32:34.320 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413554, set_id=11, svr_type=9, svr_id=1001101, cache_type=12, cache_capa=5021, cache_size=0; 
Apr  2 21:32:34.327 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413554, set_id=11, svr_type=9, svr_id=1001101, cache_type=13, cache_capa=2027, cache_size=0; 
Apr  2 21:32:34.345 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413554, set_id=11, svr_type=9, svr_id=1001101, cache_type=14, cache_capa=1019, cache_size=0; 
Apr  2 21:32:34.986 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413554, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 21:32:35.057 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413555, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 21:32:35.063 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413555, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:32:35.357 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413555, set_id=11, svr_type=9, svr_id=1001101, cache_type=1, cache_capa=21101, cache_size=0; 
Apr  2 21:32:35.366 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413555, set_id=11, svr_type=9, svr_id=1001101, cache_type=2, cache_capa=12289, cache_size=0; 
Apr  2 21:32:35.378 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413555, set_id=11, svr_type=9, svr_id=1001101, cache_type=3, cache_capa=389, cache_size=0; 
Apr  2 21:32:35.621 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413555, set_id=1, svr_type=11, svr_id=1001101, cache_type=510, cache_capa=1019, cache_size=1; 
Apr  2 21:32:36.385 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413556, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 21:32:36.478 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413556, set_id=1, svr_type=11, svr_id=1001101, cache_type=501, cache_capa=10139, cache_size=2; 
Apr  2 21:32:36.535 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413556, set_id=11, svr_type=9, svr_id=1001101, cache_type=15, cache_capa=5021, cache_size=0; 
Apr  2 21:32:36.545 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413556, set_id=11, svr_type=9, svr_id=1001101, cache_type=16, cache_capa=53657, cache_size=0; 
Apr  2 21:32:37.249 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413557, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 21:32:37.317 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413557, set_id=11, svr_type=9, svr_id=1001101, cache_type=18, cache_capa=769, cache_size=0; 
Apr  2 21:32:38.550 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413558, set_id=11, svr_type=9, svr_id=1001101, cache_type=20, cache_capa=2027, cache_size=0; 
Apr  2 21:32:38.567 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413558, set_id=1, svr_type=11, svr_id=1001101, cache_type=512, cache_capa=4019, cache_size=2; 
Apr  2 21:32:39.510 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413559, set_id=11, svr_type=9, svr_id=1001101, cache_type=19, cache_capa=1019, cache_size=0; 
Apr  2 21:32:39.514 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413559, set_id=1, svr_type=11, svr_id=1001101, cache_type=513, cache_capa=1543, cache_size=0; 
Apr  2 21:32:39.517 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413559, set_id=1, svr_type=11, svr_id=1001101, cache_type=514, cache_capa=1543, cache_size=0; 
Apr  2 21:32:40.174 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413523, set_id=11, svr_type=8, svr_id=1001101, cache_type=21, cache_capa=2027, cache_size=0; 
Apr  2 21:32:40.190 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413560, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 21:32:40.194 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413560, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:32:40.472 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413560, set_id=1, svr_type=11, svr_id=1001101, cache_type=515, cache_capa=4019, cache_size=0; 
Apr  2 21:32:41.474 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413561, set_id=11, svr_type=11, svr_id=1001101, cache_type=516, cache_capa=389, cache_size=0; 
Apr  2 21:32:41.958 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413561, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=15; 
Apr  2 21:32:42.039 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413562, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=0; 
Apr  2 21:32:42.312 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413562, set_id=11, svr_type=9, svr_id=1001101, cache_type=21, cache_capa=2027, cache_size=0; 
Apr  2 21:32:43.212 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413563, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 21:32:43.317 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413563, set_id=11, svr_type=9, svr_id=1001101, cache_type=5, cache_capa=769, cache_size=0; 
Apr  2 21:32:43.324 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413563, set_id=11, svr_type=9, svr_id=1001101, cache_type=6, cache_capa=6291469, cache_size=0; 
Apr  2 21:32:43.344 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413563, set_id=11, svr_type=9, svr_id=1001101, cache_type=7, cache_capa=4076, cache_size=0; 
Apr  2 21:32:43.363 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413563, set_id=11, svr_type=9, svr_id=1001101, cache_type=8, cache_capa=5021, cache_size=0; 
Apr  2 21:32:43.380 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413563, set_id=11, svr_type=9, svr_id=1001101, cache_type=9, cache_capa=21101, cache_size=0; 
Apr  2 21:32:43.392 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413563, set_id=11, svr_type=9, svr_id=1001101, cache_type=10, cache_capa=389, cache_size=0; 
Apr  2 21:32:43.589 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413563, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 21:32:43.895 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413563, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 21:32:44.317 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413564, set_id=11, svr_type=9, svr_id=1001101, cache_type=11, cache_capa=21101, cache_size=0; 
Apr  2 21:32:44.511 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413564, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
Apr  2 21:32:45.003 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413564, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 21:32:45.060 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413565, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=0; 
Apr  2 21:32:45.065 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413565, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:32:45.316 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413565, set_id=11, svr_type=9, svr_id=1001101, cache_type=4, cache_capa=1019, cache_size=0; 
Apr  2 21:32:46.313 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413566, set_id=11, svr_type=9, svr_id=1001101, cache_type=17, cache_capa=389, cache_size=0; 
Apr  2 21:32:46.388 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413566, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 21:32:47.067 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413567, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 21:32:47.313 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413567, set_id=11, svr_type=9, svr_id=1001101, cache_type=12, cache_capa=5021, cache_size=0; 
Apr  2 21:32:47.316 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413567, set_id=11, svr_type=9, svr_id=1001101, cache_type=13, cache_capa=2027, cache_size=0; 
Apr  2 21:32:47.325 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413567, set_id=11, svr_type=9, svr_id=1001101, cache_type=14, cache_capa=1019, cache_size=0; 
Apr  2 21:32:48.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413568, set_id=11, svr_type=9, svr_id=1001101, cache_type=1, cache_capa=21101, cache_size=0; 
Apr  2 21:32:48.319 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413568, set_id=11, svr_type=9, svr_id=1001101, cache_type=2, cache_capa=12289, cache_size=0; 
Apr  2 21:32:48.327 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413568, set_id=11, svr_type=9, svr_id=1001101, cache_type=3, cache_capa=389, cache_size=0; 
Apr  2 21:32:48.477 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413568, set_id=1, svr_type=11, svr_id=1001101, cache_type=508, cache_capa=2027, cache_size=0; 
Apr  2 21:32:49.314 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413569, set_id=11, svr_type=9, svr_id=1001101, cache_type=15, cache_capa=5021, cache_size=0; 
Apr  2 21:32:49.317 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413569, set_id=11, svr_type=9, svr_id=1001101, cache_type=16, cache_capa=53657, cache_size=0; 
Apr  2 21:32:49.473 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413569, set_id=1, svr_type=11, svr_id=1001101, cache_type=503, cache_capa=3079, cache_size=0; 
Apr  2 21:32:49.478 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413569, set_id=1, svr_type=11, svr_id=1001101, cache_type=504, cache_capa=53, cache_size=0; 
Apr  2 21:32:49.482 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617413569, set_id=1, svr_type=11, svr_id=1001101, cache_type=505, cache_capa=10139, cache_size=0; 
